num;label
34870;Drumming Fingers
56557;Sliding Two Fingers Right
129112;Sliding Two Fingers Down
131717;Sliding Two Fingers Up
23595;Zooming Out With Two Fingers
136859;Thumb Up
68574;Swiping Right
119263;Zooming In With Two Fingers
60572;Stop Sign
6522;Swiping Down
20706;No gesture
42237;Thumb Down
63763;Zooming Out With Two Fingers
82219;Zooming Out With Two Fingers
94060;Thumb Down
39493;No gesture
118250;Swiping Down
50209;Sliding Two Fingers Down
75236;Drumming Fingers
47266;Zooming In With Two Fingers
14506;Stop Sign
29589;Thumb Down
90655;Sliding Two Fingers Left
108343;Sliding Two Fingers Right
15953;Sliding Two Fingers Down
1338;Swiping Right
28883;No gesture
53863;Swiping Down
43754;Zooming In With Two Fingers
132960;Drumming Fingers
136366;Thumb Down
5119;Zooming In With Two Fingers
37219;Stop Sign
84768;Sliding Two Fingers Left
117892;Swiping Down
96509;Drumming Fingers
119336;Sliding Two Fingers Left
141369;Sliding Two Fingers Up
97070;Sliding Two Fingers Left
109425;Sliding Two Fingers Up
49506;Stop Sign
64989;Zooming Out With Two Fingers
40869;Thumb Down
12133;No gesture
123985;No gesture
2720;Thumb Up
112513;Thumb Down
129472;Zooming Out With Two Fingers
40836;Swiping Down
63541;Stop Sign
102678;No gesture
71550;Thumb Down
118215;Thumb Down
119578;Sliding Two Fingers Right
133457;Sliding Two Fingers Up
128439;Sliding Two Fingers Left
10504;No gesture
72772;Sliding Two Fingers Left
85923;Swiping Up
127712;Thumb Up
79314;Swiping Down
71426;Sliding Two Fingers Down
50483;Thumb Down
40881;Sliding Two Fingers Down
22613;Thumb Up
1289;Sliding Two Fingers Left
111296;Swiping Up
18056;Swiping Up
116788;Sliding Two Fingers Up
35807;Drumming Fingers
55705;Sliding Two Fingers Down
100741;Sliding Two Fingers Left
46260;Swiping Up
142559;Sliding Two Fingers Up
114674;No gesture
52944;Zooming Out With Two Fingers
114827;No gesture
87642;Swiping Up
51861;Zooming In With Two Fingers
74438;Swiping Up
108964;Thumb Up
82864;Zooming In With Two Fingers
125641;Sliding Two Fingers Up
78394;Swiping Right
5137;Sliding Two Fingers Down
75590;Sliding Two Fingers Up
54545;Drumming Fingers
88051;No gesture
51084;No gesture
85276;Stop Sign
98736;Drumming Fingers
77724;Sliding Two Fingers Down
61910;Zooming In With Two Fingers
21234;Zooming Out With Two Fingers
93110;Thumb Up
110993;Drumming Fingers
58302;Drumming Fingers
6022;No gesture
23903;No gesture
122765;Swiping Up
83147;Zooming Out With Two Fingers
136771;Thumb Up
142912;Zooming Out With Two Fingers
60926;Sliding Two Fingers Right
33220;No gesture
72511;Sliding Two Fingers Up
136822;Swiping Down
52906;Swiping Right
12696;Swiping Down
55998;Zooming In With Two Fingers
51477;Drumming Fingers
104847;Sliding Two Fingers Down
110455;Sliding Two Fingers Right
84841;Zooming In With Two Fingers
84384;Stop Sign
11748;Stop Sign
52825;Thumb Up
84237;No gesture
116729;Zooming Out With Two Fingers
54856;Swiping Up
31082;Sliding Two Fingers Right
56683;No gesture
140123;Zooming In With Two Fingers
8466;No gesture
67863;Thumb Up
133657;Drumming Fingers
110800;Swiping Down
45915;Zooming Out With Two Fingers
134801;No gesture
94725;No gesture
